Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Oxygen,3,Chemistry,4800,1200
Pablo Picasso,3,"Artists, musicians, and composers",15100,2200
Pacific Ocean,3,Physical geography,5200,1900
Painting,3,Arts,3700,3700
Pakistan,3,Countries and subdivisions,5200,1300
Paleontology,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Parenting,3,Everyday life,2500,1300
Paris,3,Cities,5200,2000
Particle physics,3,Physics,4800,1200
Paul the Apostle,3,Religious figures,15100,500
Peace,3,Social studies,4000,500
Periodic table,3,Chemistry,4800,1200
Personal name,3,Culture,4000,1600
Personality,3,Social studies,4000,500
Petroleum,3,Chemistry,4800,1200
Philippines,3,Countries and subdivisions,5200,1300
Philosophy of science,3,Philosophy and religion,1400,1400
Phoenicia,3,History,3300,3300
Photography,3,Technology,3200,3200
Photon,3,Physics,4800,1200
Photosynthesis,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Physical chemistry,3,Chemistry,4800,1200
Physical cosmology,3,Astronomy,4800,900
Physiology,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Pig,3,Animals,5600,2400
Planet,3,Astronomy,4800,900
Plate tectonics,3,Earth science,4800,1200
Plato,3,"Philosophers, historians, and social scientists",15100,1400
Play (activity),3,"Sports, games and recreation",2500,1200
Pneumonia,3,"Health, medicine, and disease",5600,1100
Poetry,3,Arts,3700,3700
Poland,3,Countries and subdivisions,5200,1300
Police,3,Politics and economics,4000,1900
Political party,3,Politics and economics,4000,1900
Political science,3,Politics and economics,4000,1900
Pollution,3,Social studies,4000,500
Pop music,3,Arts,3700,3700
Popular culture,3,Culture,4000,1600
Portuguese language,3,Culture,4000,1600
Potato,3,"Plants, fungi, and other organisms",5600,1000
Pottery,3,Technology,3200,3200
Poverty,3,Social studies,4000,500
Power (social and political),3,Social studies,4000,500
Prayer,3,Philosophy and religion,1400,1400
Pre-Columbian era,3,History,3300,3300
Pregnancy,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Primate,3,Animals,5600,2400
Privacy,3,Social studies,4000,500
Property,3,Politics and economics,4000,1900
Protein,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Protestantism,3,Philosophy and religion,1400,1400
Proton,3,Physics,4800,1200
Publishing,3,Culture,4000,1600
Qin Shi Huang,3,Politicians and leaders,15100,2400
Quantum mechanics,3,Physics,4800,1200
Quran,3,Philosophy and religion,1400,1400
RNA,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Rabindranath Tagore,3,Writers and journalists,15100,2000
Racism,3,Social studies,4000,500
Radioactive decay,3,Physics,4800,1200
Rain,3,Earth science,4800,1200
Ramesses II,3,Politicians and leaders,15100,2400
Realism (arts),3,Arts,3700,3700
Reason,3,Philosophy and religion,1400,1400
Redox,3,Chemistry,4800,1200
Reformation,3,History,3300,3300
Refrigeration,3,Technology,3200,3200
Rembrandt,3,"Artists, musicians, and composers",15100,2200
Renaissance,3,History,3300,3300
Renewable energy,3,Technology,3200,3200
René Descartes,3,"Philosophers, historians, and social scientists",15100,1400
Reproduction,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Reptile,3,Animals,5600,2400
Retail,3,Politics and economics,4000,1900
Rhythm,3,Arts,3700,3700
Rice,3,"Plants, fungi, and other organisms",5600,1000
Ritual,3,Philosophy and religion,1400,1400
River,3,Earth science,4800,1200
Rock (geology),3,Earth science,4800,1200
Rock music,3,Arts,3700,3700
Rocky Mountains,3,Physical geography,5200,1900
Rodent,3,Animals,5600,2400
Romanticism,3,Arts,3700,3700
Rome,3,Cities,5200,2000
Rumi,3,Writers and journalists,15100,2000
Russia,3,Countries and subdivisions,5200,1300
Russian language,3,Culture,4000,1600
Sahara,3,Physical geography,5200,1900
Salt,3,Everyday life,2500,1300
Sanitation,3,Technology,3200,3200
Saturn,3,Astronomy,4800,900
Saudi Arabia,3,Countries and subdivisions,5200,1300
School,3,Culture,4000,1600
Scientific Revolution,3,History,3300,3300
Scientific method,3,Basics and measurement,4800,300
Scramble for Africa,3,History,3300,3300
Sculpture,3,Arts,3700,3700
Season,3,Earth science,4800,1200
Secularism,3,Philosophy and religion,1400,1400
Seed,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Sense,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Service (economics),3,Politics and economics,4000,1900
Sex,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Sexism,3,Social studies,4000,500
Sexual intercourse,3,Everyday life,2500,1300
Sexual orientation,3,Everyday life,2500,1300
Sexually transmitted infection,3,"Health, medicine, and disease",5600,1100
Shamanism,3,Philosophy and religion,1400,1400
Sheep,3,Animals,5600,2400
Shen Kuo,3,"Scientists, inventors, and mathematicians",15100,1300
Shia Islam,3,Philosophy and religion,1400,1400
Shinto,3,Philosophy and religion,1400,1400
Short story,3,Arts,3700,3700
Sigmund Freud,3,"Philosophers, historians, and social scientists",15100,1400
Sikhism,3,Philosophy and religion,1400,1400
Silicon,3,Chemistry,4800,1200
Silk Road,3,History,3300,3300
Silver,3,Chemistry,4800,1200
Simple machine,3,Technology,3200,3200
Simón Bolívar,3,Politicians and leaders,15100,2400
Singapore,3,Countries and subdivisions,5200,1300
Singing,3,Arts,3700,3700
Skeletal muscle,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Skeleton,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Skin,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Slavery,3,Social studies,4000,500
Sleep,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Smallpox,3,"Health, medicine, and disease",5600,1100
Smoking,3,"Health, medicine, and disease",5600,1100
Snow,3,Earth science,4800,1200
Social class,3,Social studies,4000,500
Social equality,3,Social studies,4000,500
Social science,3,Social studies,4000,500
Socialism,3,Politics and economics,4000,1900
Sociology,3,Social studies,4000,500
Socrates,3,"Philosophers, historians, and social scientists",15100,1400
Soil,3,Earth science,4800,1200
Solar energy,3,Technology,3200,3200
Soul,3,Philosophy and religion,1400,1400
Sound,3,Physics,4800,1200
South Africa,3,Countries and subdivisions,5200,1300
South Korea,3,Countries and subdivisions,5200,1300
Southern Ocean,3,Physical geography,5200,1900
Soviet Union,3,History,3300,3300
Soybean,3,"Plants, fungi, and other organisms",5600,1000
Space,3,Physics,4800,1200
Spain,3,Countries and subdivisions,5200,1300
Spanish Empire,3,History,3300,3300
Spanish language,3,Culture,4000,1600
Species,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Speech,3,Culture,4000,1600
Speed of light,3,Physics,4800,1200
Spice,3,Everyday life,2500,1300
Spirituality,3,Philosophy and religion,1400,1400
Sport of athletics,3,"Sports, games and recreation",2500,1200
Standard Model,3,Physics,4800,1200
Star,3,Astronomy,4800,900
State (polity),3,Politics and economics,4000,1900
State of matter,3,Physics,4800,1200
Steel,3,Chemistry,4800,1200
Stone Age,3,History,3300,3300
Stroke,3,"Health, medicine, and disease",5600,1100
Strong interaction,3,Physics,4800,1200
Subatomic particle,3,Physics,4800,1200
Suffrage,3,Politics and economics,4000,1900
Sugar,3,Everyday life,2500,1300
Suicide,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Suleiman the Magnificent,3,Politicians and leaders,15100,2400
Sulfur,3,Chemistry,4800,1200
Sumer,3,History,3300,3300
Sunni Islam,3,Philosophy and religion,1400,1400
Supernova,3,Astronomy,4800,900
Supply and demand,3,Politics and economics,4000,1900
Surgery,3,"Health, medicine, and disease",5600,1100
Swahili language,3,Culture,4000,1600
Swimming,3,"Sports, games and recreation",2500,1200
São Paulo,3,Cities,5200,2000
Taiwan,3,Countries and subdivisions,5200,1300
Talmud,3,Philosophy and religion,1400,1400
Tang dynasty,3,History,3300,3300
Tanzania,3,Countries and subdivisions,5200,1300
Taoism,3,Philosophy and religion,1400,1400
Tax,3,Politics and economics,4000,1900
Taxonomy (biology),3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Tea,3,Everyday life,2500,1300
Temperature,3,Physics,4800,1200
Terrorism,3,Politics and economics,4000,1900
Thailand,3,Countries and subdivisions,5200,1300
The Beatles,3,"Artists, musicians, and composers",15100,2200
The Buddha,3,Religious figures,15100,500
Theatre,3,Arts,3700,3700
Theory of relativity,3,Physics,4800,1200
Theravada,3,Philosophy and religion,1400,1400
Thermodynamics,3,Physics,4800,1200
Thomas Aquinas,3,"Philosophers, historians, and social scientists",15100,1400
Thomas Edison,3,"Scientists, inventors, and mathematicians",15100,1300
Thought,3,Social studies,4000,500
Timur,3,Politicians and leaders,15100,2400
Tokyo,3,Cities,5200,2000
Tornado,3,Earth science,4800,1200
Tourism,3,"Sports, games and recreation",2500,1200
Toy,3,"Sports, games and recreation",2500,1200
Trade union,3,Social studies,4000,500
Traditional African religions,3,Philosophy and religion,1400,1400
Tree,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Tropical cyclone,3,Earth science,4800,1200
Truth,3,Philosophy and religion,1400,1400
Tuberculosis,3,"Health, medicine, and disease",5600,1100
Turkey,3,Countries and subdivisions,5200,1300
Ukraine,3,Countries and subdivisions,5200,1300
United Arab Emirates,3,Countries and subdivisions,5200,1300
United Kingdom,3,Countries and subdivisions,5200,1300
United Nations,3,Politics and economics,4000,1900
United States,3,Countries and subdivisions,5200,1300
University,3,Culture,4000,1600
Uranus,3,Astronomy,4800,900
Vaccine,3,"Health, medicine, and disease",5600,1100
Vacuum,3,Physics,4800,1200
Vasco da Gama,3,Miscellaneous,15100,1100
Vedas,3,Philosophy and religion,1400,1400
Vegetable,3,Everyday life,2500,1300
Venus,3,Astronomy,4800,900
Vertebrate,3,Animals,5600,2400
Video game,3,"Sports, games and recreation",2500,1200
Vietnam,3,Countries and subdivisions,5200,1300
Viking Age,3,History,3300,3300
Village,3,Cities,5200,2000
Vincent van Gogh,3,"Artists, musicians, and composers",15100,2200
Violence,3,Social studies,4000,500
Virgil,3,Writers and journalists,15100,2000
Virus,3,"Health, medicine, and disease",5600,1100
Volcano,3,Earth science,4800,1200
Voltaire,3,Writers and journalists,15100,2000
Walt Disney,3,"Entertainers, directors, producers, and screenwriters",15100,2200
Wave,3,Physics,4800,1200
Weak interaction,3,Physics,4800,1200
Weapon,3,Technology,3200,3200
Weather,3,Earth science,4800,1200
Welfare spending,3,Politics and economics,4000,1900
Western imperialism in Asia,3,History,3300,3300
Western philosophy,3,Philosophy and religion,1400,1400
Wheat,3,"Plants, fungi, and other organisms",5600,1000
Wheel,3,Technology,3200,3200
William Shakespeare,3,Writers and journalists,15100,2000
Wind,3,Earth science,4800,1200
Wind power,3,Technology,3200,3200
Wolfgang Amadeus Mozart,3,"Artists, musicians, and composers",15100,2200
Woman,3,Everyday life,2500,1300
Word,3,Culture,4000,1600
Work (human activity),3,Politics and economics,4000,1900
World War I,3,History,3300,3300
World War II,3,History,3300,3300
Yangtze,3,Physical geography,5200,1900
Year,3,Basics and measurement,4800,300
Zheng He,3,Miscellaneous,15100,1100
Zoology,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
0,3,Mathematics,1200,1200
Aircraft,3,Technology,3200,3200
Algebra,3,Mathematics,1200,1200
Algorithm,3,Mathematics,1200,1200
Angle,3,Mathematics,1200,1200
Area,3,Mathematics,1200,1200
Artificial intelligence,3,Technology,3200,3200
Bicycle,3,Technology,3200,3200
Book,3,Technology,3200,3200
Bridge,3,Technology,3200,3200
Building,3,Technology,3200,3200
Calculus,3,Mathematics,1200,1200
Calendar,3,Technology,3200,3200
Camera,3,Technology,3200,3200
Canal,3,Technology,3200,3200
Car,3,Technology,3200,3200
Circle,3,Mathematics,1200,1200
Clock,3,Technology,3200,3200
Compass,3,Technology,3200,3200
Complex number,3,Mathematics,1200,1200
Computer science,3,Technology,3200,3200
Concrete,3,Technology,3200,3200
Cotton,3,Technology,3200,3200
Cryptography,3,Technology,3200,3200
Dam,3,Technology,3200,3200
E (mathematical constant),3,Mathematics,1200,1200
Electric light,3,Technology,3200,3200
Electronics,3,Technology,3200,3200
Equation,3,Mathematics,1200,1200
Exponentiation,3,Mathematics,1200,1200
Fortification,3,Technology,3200,3200
Fraction,3,Mathematics,1200,1200
Function (mathematics),3,Mathematics,1200,1200
Glass,3,Chemistry,4800,1200
Glass,3,Technology,3200,3200
Infinity,3,Mathematics,1200,1200
Infrastructure,3,Technology,3200,3200
Integer,3,Mathematics,1200,1200
Integrated circuit,3,Technology,3200,3200
Internal combustion engine,3,Technology,3200,3200
Internet,3,Technology,3200,3200
Laser,3,Technology,3200,3200
Lens,3,Technology,3200,3200
Limit (mathematics),3,Mathematics,1200,1200
Line (geometry),3,Mathematics,1200,1200
Linear algebra,3,Mathematics,1200,1200
Logarithm,3,Mathematics,1200,1200
Mail,3,Technology,3200,3200
Map,3,Physical geography,5200,1900
Masonry,3,Technology,3200,3200
Mathematical analysis,3,Mathematics,1200,1200
Mathematical proof,3,Mathematics,1200,1200
Metallurgy,3,Technology,3200,3200
Microscope,3,Technology,3200,3200
Mobile phone,3,Technology,3200,3200
Natural number,3,Mathematics,1200,1200
Natural rubber,3,Technology,3200,3200
Navigation,3,Technology,3200,3200
Nth root,3,Mathematics,1200,1200
Number theory,3,Mathematics,1200,1200
Paper,3,Technology,3200,3200
Pi,3,Mathematics,1200,1200
Plastic,3,Technology,3200,3200
Polygon,3,Mathematics,1200,1200
Prime number,3,Mathematics,1200,1200
Printing,3,Technology,3200,3200
Probability,3,Mathematics,1200,1200
Radar,3,Technology,3200,3200
Radio,3,Technology,3200,3200
Real number,3,Mathematics,1200,1200
Road,3,Technology,3200,3200
Robotics,3,Technology,3200,3200
Rocket,3,Technology,3200,3200
Satellite,3,Technology,3200,3200
Semiconductor device,3,Technology,3200,3200
Series (mathematics),3,Mathematics,1200,1200
Set (mathematics),3,Mathematics,1200,1200
Ship,3,Technology,3200,3200
Space exploration,3,History,3300,3300
Space station,3,Technology,3200,3200
Spaceflight,3,Technology,3200,3200
Steam engine,3,Technology,3200,3200
Telecommunications,3,Technology,3200,3200
Telephone,3,Technology,3200,3200
Telescope,3,Technology,3200,3200
Television,3,Technology,3200,3200
Textile,3,Technology,3200,3200
Three-dimensional space,3,Mathematics,1200,1200
Topology,3,Mathematics,1200,1200
Train,3,Technology,3200,3200
Triangle,3,Mathematics,1200,1200
Trigonometry,3,Mathematics,1200,1200
Variable (mathematics),3,Mathematics,1200,1200
Volume,3,Mathematics,1200,1200
Wood,3,Technology,3200,3200
A. J. P. Taylor,4,"Philosophers, historians, and social scientists",15100,1400
ABBA,4,"Artists, musicians, and composers",15100,2200
Aaron Copland,4,"Artists, musicians, and composers",15100,2200
Abbas Kiarostami,4,"Entertainers, directors, producers, and screenwriters",15100,2200
Abel Tasman,4,Miscellaneous,15100,1100
Abraham Maslow,4,"Philosophers, historians, and social scientists",15100,1400
Abu Nuwas,4,Writers and journalists,15100,2000
Adam Mickiewicz,4,Writers and journalists,15100,2000
Aeschylus,4,Writers and journalists,15100,2000
Agatha Christie,4,Writers and journalists,15100,2000
Agnès Varda,4,"Entertainers, directors, producers, and screenwriters",15100,2200
Akira Kurosawa,4,"Entertainers, directors, producers, and screenwriters",15100,2200
Al-Farabi,4,"Philosophers, historians, and social scientists",15100,1400
Al Capone,4,Miscellaneous,15100,1100
Alain Delon,4,"Entertainers, directors, producers, and screenwriters",15100,2200
Albert Bandura,4,"Philosophers, historians, and social scientists",15100,1400
Albert Camus,4,Writers and journalists,15100,2000
Albert Ellis,4,"Philosophers, historians, and social scientists",15100,1400
Albert Speer,4,"Artists, musicians, and composers",15100,2200
Alberto Giacometti,4,"Artists, musicians, and composers",15100,2200
Albrecht Dürer,4,"Artists, musicians, and composers",15100,2200
